prefecture,type,year,land_price,ping_unit_price,change
石川県,総平均,2013年［平成25年］,5万8008円/m2,19万1762円/坪,+0.24％
石川県,総平均,2014年［平成26年］,5万7696円/m2,19万0732円/坪,-0.54％
石川県,総平均,2015年［平成27年］,5万8664円/m2,19万3932円/坪,+1.68％
石川県,総平均,2016年［平成28年］,6万1179円/m2,20万2245円/坪,+4.29％
石川県,公示地価平均,1983年［昭和58年］,14万4570円/m2,47万7918円/坪,
滋賀県,総平均,1983年［昭和58年］,7万1535円/m2,23万6482円/坪,
滋賀県,総平均,1984年［昭和59年］,7万4233円/m2,24万5401円/坪,+3.77％
岡山県,公示地価平均,2011年［平成23年］,6万3495円/m2,20万9903円/坪,-3.59％
岡山県,公示地価平均,2012年［平成24年］,6万1753円/m2,20万4144円/坪,-2.74％
岡山県,公示地価平均,2013年［平成25年］,6万0898円/m2,20万1315円/坪,-1.39％
岡山県,公示地価平均,2014年［平成26年］,6万0565円/m2,20万0216円/坪,-0.55％
岡山県,公示地価平均,2015年［平成27年］,6万0564円/m2,20万0211円/坪,+0.00％
岡山県,公示地価平均,2016年［平成28年］,6万0785円/m2,20万0943円/坪,+0.37％
岡山県,公示地価平均,2017年［平成29年］,6万0565円/m2,20万0218円/坪,-0.36％
岡山県,基準地価平均,1983年［昭和58年］,3万2009円/m2,10万5815円/坪,
奈良県,総平均,2009年［平成21年］,8万2394円/m2,27万2377円/坪,-2.49％
奈良県,総平均,2010年［平成22年］,7万9580円/m2,26万3077円/坪,-3.41％
奈良県,総平均,2011年［平成23年］,7万7748円/m2,25万7018円/坪,-2.30％
奈良県,総平均,2012年［平成24年］,7万6280円/m2,25万2168円/坪,-1.89％
奈良県,総平均,2013年［平成25年］,7万5569円/m2,24万9814円/坪,-0.93％
奈良県,総平均,2014年［平成26年］,7万6087円/m2,25万1529円/坪,+0.69％
奈良県,総平均,2015年［平成27年］,7万6170円/m2,25万1803円/坪,+0.11％
熊本県,総平均,2012年［平成24年］,5万7702円/m2,19万0750円/坪,-3.66％
熊本県,総平均,2013年［平成25年］,5万6720円/m2,18万7505円/坪,-1.70％
熊本県,総平均,2014年［平成26年］,5万6690円/m2,18万7404円/坪,-0.05％
熊本県,総平均,2015年［平成27年］,5万6399円/m2,18万6446円/坪,-0.51％
熊本県,総平均,2016年［平成28年］,5万6271円/m2,18万6020円/坪,-0.23％
熊本県,公示地価平均,1983年［昭和58年］,6万6046円/m2,21万8334円/坪,
熊本県,公示地価平均,1984年［昭和59年］,6万8184円/m2,22万5403円/坪,+3.24％
熊本県,公示地価平均,1985年［昭和60年］,7万1521円/m2,23万6434円/坪,+4.89％
愛媛県,総平均,2015年［平成27年］,5万9752円/m2,19万7530円/坪,-1.92％
愛媛県,総平均,2016年［平成28年］,5万8852円/m2,19万4552円/坪,-1.51％
愛媛県,公示地価平均,1983年［昭和58年］,19万5408円/m2,64万5977円/坪,
愛媛県,公示地価平均,1984年［昭和59年］,18万8369円/m2,62万2708円/坪,-3.60％
愛媛県,公示地価平均,1985年［昭和60年］,18万1621円/m2,60万0401円/坪,-3.58％
愛媛県,公示地価平均,1986年［昭和61年］,18万3828円/m2,60万7697円/坪,+1.22％
愛媛県,公示地価平均,1987年［昭和62年］,17万7793円/m2,58万7746円/坪,-3.28％
沖縄県,公示地価平均,1996年［平成8年］,15万4700円/m2,51万1406円/坪,-3.91％
沖縄県,公示地価平均,1997年［平成9年］,15万1238円/m2,49万9963円/坪,-2.24％
沖縄県,公示地価平均,1998年［平成10年］,14万2872円/m2,47万2305円/坪,-5.53％
沖縄県,公示地価平均,1999年［平成11年］,13万7787円/m2,45万5494円/坪,-3.56％
沖縄県,公示地価平均,2000年［平成12年］,12万9461円/m2,42万7973円/坪,-6.04％
沖縄県,公示地価平均,2001年［平成13年］,12万3805円/m2,40万9275円/坪,-4.37％
沖縄県,公示地価平均,2002年［平成14年］,12万0604円/m2,39万8691円/坪,-2.59％
沖縄県,公示地価平均,2003年［平成15年］,11万0980円/m2,36万6877円/坪,-7.98％
沖縄県,公示地価平均,2004年［平成16年］,10万4589円/m2,34万5750円/坪,-5.76％
石川県,公示地価平均,1984年［昭和59年］,14万9347円/m2,49万3710円/坪,+3.30％
石川県,公示地価平均,1985年［昭和60年］,15万3521円/m2,50万7507円/坪,+2.79％
石川県,公示地価平均,1986年［昭和61年］,15万9852円/m2,52万8438円/坪,+4.12％
石川県,公示地価平均,1987年［昭和62年］,17万3676円/m2,57万4136円/坪,+8.65％
石川県,公示地価平均,1988年［昭和63年］,19万5105円/m2,64万4976円/坪,+12.34％
石川県,公示地価平均,1989年［平成元年］,21万8945円/m2,72万3785円/坪,+12.22％
石川県,公示地価平均,1990年［平成2年］,34万3932円/m2,113万6967円/坪,+57.09％
石川県,公示地価平均,1991年［平成3年］,42万5516円/m2,140万6664円/坪,+23.72％
石川県,公示地価平均,1992年［平成4年］,40万4710円/m2,133万7886円/坪,-4.89％
滋賀県,総平均,1985年［昭和60年］,7万5303円/m2,24万8936円/坪,+1.44％
滋賀県,総平均,1986年［昭和61年］,8万0006円/m2,26万4483円/坪,+6.25％
滋賀県,総平均,1987年［昭和62年］,8万4885円/m2,28万0614円/坪,+6.10％
滋賀県,総平均,1988年［昭和63年］,9万0968円/m2,30万0723円/坪,+7.17％
滋賀県,総平均,1989年［平成元年］,11万3396円/m2,37万4863円/坪,+24.65％
滋賀県,総平均,1990年［平成2年］,18万0986円/m2,59万8301円/坪,+59.61％
滋賀県,総平均,1991年［平成3年］,19万8721円/m2,65万6931円/坪,+9.80％
岡山県,基準地価平均,1984年［昭和59年］,3万2950円/m2,10万8926円/坪,+2.94％
岡山県,基準地価平均,1985年［昭和60年］,3万3678円/m2,11万1332円/坪,+2.21％
岡山県,基準地価平均,1986年［昭和61年］,3万8702円/m2,12万7941円/坪,+14.92％
岡山県,基準地価平均,1987年［昭和62年］,3万9385円/m2,13万0199円/坪,+1.76％
